,SV_0,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,SV_7,SV_8,SV_9,SV_10,year
72,"('oop', 0.002189834926282933)","('java', 0.00035680645974662113)","('class', 0.00034903961665172934)","('shell', 0.00030320072479578144)","('gtk', 0.0005672800523927445)","('api', 0.0001772291521605629)","('mod-wsgi', 0.00025760499096855486)","('sqlite', 0.001889642249858916)","('email', 0.004581206698834251)","('encoding', 0.0013515201433573773)","('pyramid', 0.00026355024990266235)",2011
73,"('python-2.7', 0.0021738869432641936)","('pyramid', 0.00040254355754777634)","('text', 0.00041901708976721167)","('google-cloud-datastore', 0.0002542889019623983)","('email', 0.0005846554925877358)","('forms', 0.00018746204808236383)","('email', 0.00019609803834986302)","('variables', 0.0018612606893354516)","('debugging', 0.004430548196596884)","('django-templates', 0.001420334104581861)","('math', 0.0002879973732658465)",2011
74,"('ruby', 0.002167392122844041)","('text', 0.00040733827725230714)","('lxml', 0.00043683182244905774)","('ubuntu', 0.00023118633830729839)","('flask', 0.0005898675402681647)","('django-forms', 0.00018824821574787095)","('jquery', 0.00017986109881295686)","('postgresql', 0.0018119959412572113)","('sqlite', 0.004421876414546564)","('text', 0.0014560606472684215)","('twisted', 0.00030469729848940814)",2011
75,"('forms', 0.0021500172613633105)","('selenium', 0.00048100074219653056)","('opencv', 0.0005289948007632842)","('javascript', 0.00022611035712472068)","('ruby', 0.000609160743658604)","('pydev', 0.00020649778370892332)","('django-views', 6.704263571614662e-05)","('unit-testing', 0.001807760902068216)","('mongodb', 0.003957998268628927)","('django', 0.001628712345599118)","('google-cloud-datastore', 0.0004555903051570195)",2011
76,"('sorting', 0.0021486941686595647)","('cgi', 0.00048363441003544487)","('for-loop', 0.0005371012732997564)","('flask', 0.0002050620373564704)","('urllib2', 0.0007384267925942578)","('pyqt', 0.0002531710177734844)","('mechanize', 6.226668666425503e-05)","('database', 0.001723977068369839)","('text', 0.003935351776272058)","('module', 0.0017503312181463282)","('flask', 0.0005314817947669227)",2011
77,"('api', 0.002141448317337635)","('c#', 0.0004935667885988278)","('inheritance', 0.0006078191753359905)","('postgresql', 0.00017272997512336925)","('http', 0.0007457888420126929)","('pip', 0.0002604772429812296)","('optimization', 4.7396510747702274e-05)","('perl', 0.0016077528894481515)","('inheritance', 0.003738308847387368)","('datetime', 0.0017767598945128138)","('mechanize', 0.0005628511267111109)",2011
78,"('file-io', 0.002127369275490951)","('optimization', 0.0005279939612636635)","('shell', 0.0006345568606006143)","('django-models', 0.0001584713305806068)","('urllib', 0.0007519895665003023)","('selenium', 0.00026893197654724994)","('opencv', 3.7214396245765623e-05)","('sql', 0.0015357252417105291)","('c#', 0.0034805149909103855)","('loops', 0.002223789371409323)","('django', 0.0006180355362336437)",2011
79,"('django-views', 0.0021118203088855625)","('tuples', 0.0005596442749953591)","('macos', 0.0006887324802150696)","('logging', 0.00011091327846203045)","('mechanize', 0.0008676896656016069)","('pyqt4', 0.0003066551252534016)","('ajax', 1.1600680300385202e-05)","('loops', 0.0015122516070797082)","('beautifulsoup', 0.003463493622474667)","('database', 0.002235310312965047)","('image', 0.0006382136143607744)",2011
80,"('variables', 0.002111238586133018)","('perl', 0.0005802221490710593)","('pygame', 0.0007102430298101142)","('bash', 0.0001080416278551044)","('oop', 0.0009136605723775436)","('inheritance', 0.0003309388728719218)","('pylons', 4.1435467186500246e-05)","('flask', 0.0013687297301016258)","('oop', 0.003366568400718027)","('postgresql', 0.002782730568395183)","('lxml', 0.0006396187983720263)",2011
81,"('selenium', 0.0020905493008031165)","('multiprocessing', 0.0006486660269258242)","('gtk', 0.000741006152700957)","('cgi', 6.495931641516128e-05)","('javascript', 0.0009202940969040478)","('import', 0.0003465682632402585)","('exception', 5.0005419703932734e-05)","('selenium', 0.0012278860204604594)","('tuples', 0.0032195024598117633)","('oop', 0.0028674603216191294)","('text', 0.0006726393705004036)",2011
82,"('math', 0.0020644902592701062)","('lxml', 0.0006822519760085938)","('parsing', 0.0008242713725814855)","('email', 5.1946820936138906e-05)","('templates', 0.0009499728769346659)","('pylons', 0.0003666790139304056)","('cgi', 7.182334733907281e-05)","('pylons', 0.0011852415288021775)","('selenium', 0.003205567557238033)","('beautifulsoup', 0.002920408720108403)","('selenium', 0.0006901873651933947)",2011
83,"('virtualenv', 0.0020257211602515545)","('beautifulsoup', 0.0007152650816062223)","('pyqt4', 0.001013435012373657)","('ruby', 5.3124517565264045e-05)","('twisted', 0.000993199542719281)","('facebook', 0.0003677482629422055)","('selenium', 0.00010144833407594537)","('inheritance', 0.0011660285132954102)","('for-loop', 0.002852554133767551)","('for-loop', 0.0029496038025274007)","('django-views', 0.0007719842202535626)",2011
84,"('templates', 0.0020228741713407055)","('file-io', 0.0007221063846237932)","('qt', 0.0010189164674671387)","('pygame', 6.772209524481159e-05)","('perl', 0.0010092752125497784)","('python-imaging-library', 0.0003874522185860699)","('pyramid', 0.00016756447720940072)","('beautifulsoup', 0.0011421162856230932)","('cgi', 0.0022910651174559704)","('python', 0.0029732868130546543)","('django-admin', 0.0007817857622360921)",2011
85,"('ubuntu', 0.0020184827055103657)","('image-processing', 0.0007223126985432408)","('mongodb', 0.0011271174391466441)","('jquery', 0.0001599874980236339)","('sockets', 0.0011469326568305186)","('user-interface', 0.00041334566585821277)","('django-admin', 0.0001764017131410257)","('django-templates', 0.00081604827766436)","('math', 0.002086959567184564)","('wsgi', 0.002983469983027162)","('pygame', 0.0009341468131241967)",2011
86,"('exception', 0.0019427017189506078)","('math', 0.0007959902690315467)","('function', 0.00116619740493219)","('django-admin', 0.00018899217846677757)","('pygtk', 0.001172573933888361)","('virtualenv', 0.0005034814917136072)","('django-forms', 0.00018356613267808816)","('c#', 0.0004940958289737056)","('scipy', 0.001833915294153745)","('matplotlib', 0.004049413552518331)","('multiprocessing', 0.000953401704624237)",2011
87,"('shell', 0.001924939967930262)","('opencv', 0.0008599757914339634)","('sql', 0.0012354009785315464)","('pydev', 0.00019814881434067276)","('encoding', 0.0012255354712420094)","('gtk', 0.0005704498831912421)","('forms', 0.0001971202415175918)","('forms', 0.0003799400324743822)","('flask', 0.001552657470852755)","('inheritance', 0.004277137254346919)","('forms', 0.0009784007554407264)",2011
88,"('eclipse', 0.0019246153848963587)","('subprocess', 0.0009103371893940982)","('pygtk', 0.0012636352315339575)","('django-forms', 0.00020026002213081905)","('csv', 0.0012534667764288483)","('performance', 0.000596935110971774)","('debugging', 0.0003904754092082241)","('mechanize', 0.0002478198213007061)","('pyramid', 0.0012866949967369817)","('multiprocessing', 0.004331347452719174)","('sockets', 0.0010012497289241299)",2011
89,"('bash', 0.0019094182826624652)","('function', 0.000934230760632796)","('mod-wsgi', 0.0013142298144961514)","('http', 0.00025309140547457643)","('php', 0.0013005954793590066)","('pyramid', 0.0006103968406220614)","('class', 0.0004546618157897919)","('ajax', 0.0001814841928510862)","('search', 0.0011915926282234988)","('optimization', 0.0044169049137858084)","('email', 0.0010843034423793745)",2011
90,"('google-cloud-datastore', 0.0018278137313432598)","('file', 0.000988005952301757)","('algorithm', 0.0013181314951620645)","('ajax', 0.0003148176250741594)","('lxml', 0.0017974287232794264)","('pygame', 0.0006150030418593533)","('oop', 0.0004859277143222278)","('jquery', 0.00015215093370938475)","('image-processing', 0.0007721081636979038)","('variables', 0.004483384332758477)","('django-forms', 0.0011067156862841995)",2011
91,"('encoding', 0.0018145342243513335)","('qt', 0.000990364890457476)","('twisted', 0.0013353608344097707)","('sockets', 0.0003287849150042896)","('text', 0.0018846804297486678)","('for-loop', 0.0006204570722348407)","('apache', 0.0005629993904719879)","('for-loop', 0.00011194308482226009)","('pylons', 0.0006703614082775863)","('algorithm', 0.004720893572790355)","('python-2.7', 0.0011383147540994162)",2011
92,"('opencv', 0.0018076242041208032)","('ctypes', 0.0010462500884756841)","('postgresql', 0.0015448728048919006)","('eclipse', 0.00033858770347722884)","('sqlalchemy', 0.001936348600028962)","('debugging', 0.0006226299589682488)","('twisted', 0.0005684228121262439)","('tuples', 3.342279778203831e-05)","('mechanize', 0.000623567904186953)","('django-models', 0.004791269235387162)","('wsgi', 0.0015357339793351014)",2011
93,"('mod-wsgi', 0.0017877775391847465)","('sockets', 0.0010685605809015732)","('apache', 0.0015797135440012156)","('wsgi', 0.0003621427076260303)","('exception', 0.002449651270672749)","('tkinter', 0.0007883187823469394)","('flask', 0.0005979512349180208)","('google-cloud-datastore', 8.751189376586771e-05)","('ajax', 0.0006128864703016829)","('http', 0.004988655396387386)","('variables', 0.001727990290469445)",2011
94,"('perl', 0.0017842161654775847)","('arrays', 0.0011019629625894855)","('subprocess', 0.0017027423558386844)","('user-interface', 0.0004247018658592857)","('beautifulsoup', 0.0024885215959396245)","('django-views', 0.0008225266994498055)","('c#', 0.0006701584539979683)","('pyramid', 9.89236505728971e-05)","('templates', 0.000605948357200764)","('tuples', 0.005722003107211326)","('google-app-engine', 0.0018687176826099215)",2011
95,"('pip', 0.0017735929756129338)","('gtk', 0.0011140795983498387)","('pyqt', 0.0018866085320338368)","('virtualenv', 0.0004281457201996949)","('search', 0.0029832867411844054)","('oop', 0.0009720225707012971)","('mongodb', 0.0008648913492432231)","('templates', 0.00017238200382441215)","('jquery', 0.0004948122571979676)","('csv', 0.005780193983385473)","('qt', 0.001977522237872265)",2011
96,"('debugging', 0.0017505740232700462)","('algorithm', 0.0011605939410339605)","('multithreading', 0.001944376710995637)","('mod-wsgi', 0.0004827473859562307)","('for-loop', 0.0030597159219928963)","('google-cloud-datastore', 0.000983273940929839)","('javascript', 0.0008685054020679734)","('facebook', 0.00019536556456858662)","('forms', 0.0004662256737271702)","('sorting', 0.0068946948577536665)","('http', 0.0020960571187795055)",2011
97,"('pydev', 0.0017271904409322596)","('pygame', 0.001297319931206506)","('sqlalchemy', 0.002085478536321705)","('mysql', 0.0004835792896859831)","('html', 0.003179649201673398)","('pygtk', 0.0009892770697641864)","('scipy', 0.001067636212365628)","('optimization', 0.00024902447416196407)","('facebook', 0.00013694471367367567)","('exception', 0.0069090500207248644)","('exception', 0.002666118112253816)",2011
98,"('inheritance', 0.0017099280291014564)","('windows', 0.0014824512901585355)","('scipy', 0.002108076047893264)","('pylons', 0.0005915290504955108)","('json', 0.003527819896005103)","('subprocess', 0.0010362852661114025)","('xml', 0.0012879213407035375)","('opencv', 0.0003595077290979437)","('django', 0.00020381294440890204)","('function', 0.007032867712268946)","('unit-testing', 0.00290270139471117)",2011
99,"('tuples', 0.0017043920618804878)","('pyqt4', 0.0014871835319793195)","('wxpython', 0.0021319551872977303)","('api', 0.0006194486052836512)","('class', 0.0038918682139431823)","('mysql', 0.00106724018751796)","('performance', 0.0013502705128458)","('django-admin', 0.00037528774139823336)","('django-admin', 0.00031666872123885617)","('unit-testing', 0.007270333438590772)","('urllib', 0.003073182821002318)",2011
100,"('facebook', 0.0016995512511312168)","('multithreading', 0.001621798164011548)","('django-views', 0.0022538720821835318)","('apache', 0.0006245644699891528)","('variables', 0.004015561419539626)","('database', 0.0011409783509318764)","('lxml', 0.001351170409057574)","('django-views', 0.0005393478895685967)","('google-app-engine', 0.0003453873443439448)","('parsing', 0.007477846665248167)","('import', 0.003100778280616166)",2011
101,"('urllib', 0.0016739545388561611)","('dictionary', 0.0018592638760713965)","('tkinter', 0.0024458442474200788)","('unit-testing', 0.0006972139753728596)","('unicode', 0.004220595932525575)","('sqlalchemy', 0.0013303727958507428)","('csv', 0.0013910431732216955)","('search', 0.0006021293912655863)","('datetime', 0.00041290068649862954)","('unicode', 0.008147934015634038)","('wxpython', 0.0031861710034687546)",2011
102,"('c#', 0.0016365276600883779)","('pygtk', 0.0019128148274079177)","('c++', 0.002472770034053642)","('pyqt4', 0.0007420770174285829)","('function', 0.0047782795658024785)","('django', 0.001383255284972837)","('beautifulsoup', 0.0018125987100443969)","('regex', 0.0006221262984495331)","('google-cloud-datastore', 0.0004650024195880964)","('sqlalchemy', 0.008751934215930166)","('pyqt4', 0.0032464595971691476)",2011
103,"('mechanize', 0.0015881800509417855)","('scipy', 0.002105909545266381)","('linux', 0.002560996862221748)","('qt', 0.0007673010769931239)","('sorting', 0.005387400823963393)","('macos', 0.0014343600047417053)","('for-loop', 0.00237183608240791)","('django-forms', 0.0008582058606473979)","('django-views', 0.000866576980075924)","('json', 0.009538754539291202)","('user-interface', 0.0034431321452825445)",2011
104,"('ajax', 0.0015828279505032405)","('pyqt', 0.0023944111762989172)","('python-3.x', 0.002577009956658294)","('subprocess', 0.0007787292214459831)","('xml', 0.005835288773163693)","('twisted', 0.0015020931642110444)","('numpy', 0.0024713247018657764)","('performance', 0.0015009391675341833)","('django-forms', 0.0014136158069747162)","('xml', 0.010333200758194043)","('numpy', 0.004284281913146705)",2011
105,"('jquery', 0.00157483978037251)","('wxpython', 0.0027497097141672227)","('django-admin', 0.0029885469942193352)","('urllib2', 0.0007880940608488045)","('loops', 0.006266092771456612)","('class', 0.0025951528184693234)","('wxpython', 0.0025094425227736674)","('math', 0.0016591031356190556)","('django-templates', 0.002038496542076428)","('urllib', 0.012249910393283136)","('django-models', 0.004335644378160475)",2011
106,"('image-processing', 0.0015655931471307313)","('c++', 0.0031441470246281675)","('mysql', 0.0032827293893798208)","('linux', 0.0008003380670446993)","('parsing', 0.007964774712913502)","('wxpython', 0.004036160356540977)","('tuples', 0.0028103992420942967)","('sorting', 0.0018014514421060548)","('django-models', 0.003912357364829252)","('performance', 0.013193573869646116)","('python', 0.005479366421071842)",2011
107,"('for-loop', 0.0015606008581182408)","('tkinter', 0.003413105395916189)","('matplotlib', 0.004407057992026913)","('twisted', 0.0008099025020590655)","('python', 0.009293891282266592)","('google-app-engine', 0.004200034453638271)","('php', 0.00462866985713117)","('algorithm', 0.002146720157010591)","('image', 0.007583224061437793)","('html', 0.014604322199223866)","('pyqt', 0.006218066788156246)",2011
108,"('optimization', 0.0014631520394486172)","('matplotlib', 0.003884188538271388)","('list', 0.005019678718861949)","('windows', 0.0009356484003006662)","('file', 0.009807678032847598)","('django-models', 0.004466884226850131)","('python', 0.005317252612619857)","('django-models', 0.0034008595131456466)","('wxpython', 0.009691500386221706)","('multithreading', 0.015022963844972391)","('html', 0.006354516214056364)",2011
109,"('text', 0.0014618612264244992)","('string', 0.004066836152357391)","('string', 0.00557299202850241)","('selenium', 0.0009382944128481411)","('tuples', 0.01403349937714366)","('sorting', 0.005884839587273209)","('perl', 0.005871680993168113)","('python', 0.015134477554209875)","('python', 0.013598380252498963)","('import', 0.019958867798744607)","('regex', 0.008748510404104043)",2011
110,"('wsgi', 0.0014530282867726162)","('python-3.x', 0.0041179986097224786)","('django-models', 0.00795592632101249)","('pyramid', 0.0011549064261554658)","('regex', 0.06695440412094592)","('tuples', 0.006090413937277338)","('sorting', 0.008741207235905945)","('scipy', 0.015149227806666384)","('regex', 0.017522657091784404)","('class', 0.020582188074470847)","('arrays', 0.0102754455710449)",2011
111,"('cgi', 0.0014524041731799942)","('list', 0.005535110000324348)","('numpy', 0.009024096776500049)","('sqlalchemy', 0.001673210156742073)","('dictionary', 0.07612393327718159)","('python', 0.014368680305504056)","('dictionary', 0.07057887486675885)","('string', 0.03485326122467967)","('list', 0.02966539604102596)","('tkinter', 0.04677285926086231)","('tkinter', 0.025232743761121848)",2011
112,"('search', 0.0014365445312936333)","('numpy', 0.008154494555821493)","('python', 0.021092424712602538)","('pyqt', 0.0019938294688169795)","('string', 0.0968089175074767)","('dictionary', 0.02914771206225251)","('list', 0.19878846267745)","('arrays', 0.04538403594213705)","('string', 0.06691747410920884)","('dictionary', 0.19453315707087387)","('python-3.x', 0.20144647870567667)",2011
113,"('pylons', 0.001403656326142338)","('python', 0.0974046605682467)","('django', 0.03268896180199861)","('python', 0.027412242947089136)","('list', 0.3336025703912222)","('list', 0.15525078419769023)","('regex', 0.2828546499240797)","('numpy', 0.1814270776352241)","('matplotlib', 0.44513548955202065)","('python-3.x', 0.6440222710187857)","('list', 0.21842202299851443)",2011
0,"('python', 0.9923951172861599)","('django', 0.988529311550457)","('numpy', 0.8687510917185017)","('google-app-engine', 0.8683401774692112)","('list', 0.8509977542841801)","('python-2.7', 0.7769092650761997)","('python-3.x', 0.8438810479781461)","('regex', 0.900430196979464)","('matplotlib', 0.9645165842684973)","('string', 0.9621452907583529)","('dictionary', 0.9705430743023656)",2012
1,"('django', 0.10149160665234824)","('django-models', 0.06851228870947373)","('scipy', 0.2495161426440289)","('python-2.7', 0.4055848647337872)","('dictionary', 0.19894293452381048)","('python-3.x', 0.3130541872915803)","('regex', 0.3087997908295031)","('string', 0.14720016785725326)","('plot', 0.09235962493848775)","('unicode', 0.03096559121038541)","('sorting', 0.03911177708876499)",2012
2,"('google-app-engine', 0.022699748132870214)","('django-forms', 0.03473733276530697)","('list', 0.2212150341953281)","('list', 0.16658737027699821)","('string', 0.17419468890850667)","('regex', 0.19393611340202946)","('string', 0.10841971301490917)","('numpy', 0.04617501044045846)","('wxpython', 0.03474378448408763)","('function', 0.025642386282802163)","('csv', 0.028016135095461192)",2012
3,"('numpy', 0.022290160413774816)","('django-templates', 0.03468484941440563)","('matplotlib', 0.21814603924829162)","('google-cloud-datastore', 0.08289058603347056)","('python-2.7', 0.11720627913853623)","('tkinter', 0.04106493168335133)","('google-app-engine', 0.09885699077065442)","('html', 0.02364089907029892)","('tkinter', 0.032777187803351725)","('parsing', 0.02374782258465192)","('class', 0.02706629271143776)",2012
4,"('list', 0.0221049795877188)","('django-views', 0.02953488312210811)","('python-2.7', 0.21036797289082174)","('python-3.x', 0.07486842461647282)","('python-3.x', 0.11331420432927425)","('windows', 0.023379816414618317)","('unicode', 0.0160042854680455)","('parsing', 0.023636086845182522)","('regex', 0.026970523170618446)","('file', 0.021926278509933162)","('json', 0.023554356598427507)",2012
5,"('python-2.7', 0.0209449666132321)","('django-admin', 0.028015376934353457)","('arrays', 0.1338261233106052)","('regex', 0.06950953827319872)","('regex', 0.09755502302174326)","('linux', 0.016904784188833608)","('function', 0.012533687757500887)","('beautifulsoup', 0.020788679170254364)","('list', 0.02410268424735352)","('variables', 0.02168385768643915)","('loops', 0.01776099889172745)",2012
6,"('python-3.x', 0.01776732316001732)","('mysql', 0.019704295289918895)","('python-3.x', 0.0958893101708992)","('string', 0.041633230623710056)","('tuples', 0.0528157568226973)","('macos', 0.01388001963986694)","('html', 0.012038524165421935)","('unicode', 0.01365096058454917)","('pyqt', 0.01936945983394988)","('matplotlib', 0.01772336920340377)","('function', 0.01584980777482668)",2012
7,"('regex', 0.01667061475675728)","('forms', 0.01817647863456747)","('dictionary', 0.055116660973232326)","('dictionary', 0.038969288287544326)","('sorting', 0.03339890356971625)","('wxpython', 0.013179682756887731)","('tkinter', 0.011354603915456618)","('scipy', 0.01229839650345752)","('macos', 0.017157360350215672)","('python-2.7', 0.013414490425950776)","('tuples', 0.015003035004241673)",2012
8,"('matplotlib', 0.014420873138341766)","('javascript', 0.013863402698588856)","('string', 0.045495016777655474)","('jinja2', 0.0342367246238873)","('function', 0.03160066808980073)","('beautifulsoup', 0.011975081164579897)","('performance', 0.009036112754967046)","('url', 0.009525193661378729)","('pandas', 0.014553409859008201)","('algorithm', 0.01245218684039031)","('file', 0.009928766375780239)",2012
9,"('string', 0.01337885071126394)","('celery', 0.013645973629135905)","('pandas', 0.040957045305524985)","('html', 0.02596337942105225)","('loops', 0.025961573274818874)","('subprocess', 0.009691187416459492)","('parsing', 0.008545831679374031)","('perl', 0.008802129893766797)","('ipython', 0.014047267482461606)","('tkinter', 0.010691276266161603)","('performance', 0.008888157799339859)",2012
10,"('dictionary', 0.012231613751774006)","('jquery', 0.012984830190440154)","('matrix', 0.027987320456064564)","('javascript', 0.01778320361154699)","('for-loop', 0.02264602253173241)","('unicode', 0.009544657682887899)","('google-cloud-datastore', 0.0075539704808789436)","('arrays', 0.008517389308059842)","('google-app-engine', 0.011314389750766504)","('encoding', 0.00892107772459546)","('regex', 0.0085878162114204)",2012
11,"('tkinter', 0.008785991202765998)","('heroku', 0.012797246098233054)","('regex', 0.021829131578939332)","('json', 0.014321136253694562)","('list-comprehension', 0.018355883792567168)","('user-interface', 0.00819598845749278)","('dictionary', 0.007538238377238741)","('java', 0.0073205916688020645)","('pyqt4', 0.00946364333268309)","('arrays', 0.00886933544753965)","('pickle', 0.007852675279990957)",2012
12,"('windows', 0.008525153777665174)","('database', 0.01271354733971318)","('matlab', 0.02098480497818316)","('flask', 0.013890892621680653)","('file', 0.017803480199713177)","('pygame', 0.007988444551066813)","('unit-testing', 0.0073255446021016045)","('google-app-engine', 0.006968377007658616)","('image', 0.007808746886917758)","('json', 0.008058462575846147)","('recursion', 0.007811934413889619)",2012
13,"('linux', 0.008047090969806008)","('google-app-engine', 0.012048971493367104)","('google-app-engine', 0.020892809467125014)","('tkinter', 0.012498863556846875)","('class', 0.017666298166329766)","('matplotlib', 0.007704354033742353)","('file', 0.006859346401515297)","('javascript', 0.006687585635948281)","('qt', 0.007335948213699005)","('pandas', 0.007560969236022352)","('mysql', 0.007413570934726442)",2012
14,"('scipy', 0.007608369355784012)","('html', 0.012006535389198138)","('plot', 0.019774749386786)","('unicode', 0.01113941637740028)","('indexing', 0.014580718954652813)","('xml', 0.007520011614218156)","('class', 0.006473808558588395)","('search', 0.006274850840411367)","('user-interface', 0.006963747651849981)","('utf-8', 0.007500363123764278)","('sqlite', 0.0070709632225952465)",2012
15,"('flask', 0.007232145068786582)","('templates', 0.011351353540392536)","('csv', 0.01675045431356746)","('jquery', 0.010559236343303973)","('variables', 0.014234016994476791)","('file-io', 0.007444565826115152)","('multiprocessing', 0.006399704500758564)","('bash', 0.005135529207382694)","('linux', 0.0056529857647840895)","('text', 0.007028991811092686)","('memory', 0.0069363800120030685)",2012
16,"('multithreading', 0.006950647325246885)","('apache', 0.011201544339411796)","('django', 0.016451551767875116)","('tuples', 0.010538363787347222)","('recursion', 0.014224878395087487)","('class', 0.007431383922034417)","('beautifulsoup', 0.006043259366720483)","('xml', 0.004562796501230554)","('csv', 0.005067750382454283)","('search', 0.005881079968854512)","('database', 0.006756523119590177)",2012
17,"('c++', 0.006884164071606647)","('postgresql', 0.01059070842480314)","('image-processing', 0.015761991907340758)","('database', 0.0088141313378358)","('algorithm', 0.013182424765525738)","('pyqt4', 0.0072101819006339185)","('file-io', 0.005997852213917241)","('nlp', 0.004165837197059795)","('datetime', 0.0043565087215171406)","('url', 0.005706661079440495)","('object', 0.006723241328170018)",2012
18,"('mysql', 0.006710887649292471)","('sql', 0.009215238158949299)","('tuples', 0.015569951815994826)","('java', 0.008734315874497684)","('django', 0.011345824768474651)","('pyqt', 0.006853089214233184)","('xml', 0.0059630994305284735)","('ruby', 0.003551950188249461)","('wxwidgets', 0.00387727838311258)","('datetime', 0.005647637978080822)","('multiprocessing', 0.006245541930880301)",2012
19,"('pandas', 0.006643063562767642)","('virtualenv', 0.008136355957417782)","('performance', 0.015379784009074722)","('templates', 0.008482720858382807)","('random', 0.011147179512191885)","('sqlalchemy', 0.006621350462649979)","('numpy', 0.005708793069867206)","('email', 0.003372769962739168)","('virtualenv', 0.003837578013970326)","('xml', 0.0054914765153799856)","('for-loop', 0.006147735303523283)",2012
20,"('django-models', 0.006570740474928935)","('orm', 0.0077503397947302315)","('indexing', 0.015148631336374577)","('function', 0.007802923495793682)","('search', 0.010673387621838117)","('module', 0.006470259256894808)","('subprocess', 0.0055907721149137295)","('php', 0.003191023642351763)","('pyside', 0.0030356367816059488)","('loops', 0.005466281557668488)","('parsing', 0.00575236250466521)",2012
21,"('sqlalchemy', 0.00600863633377469)","('ajax', 0.007467107689613588)","('sorting', 0.014076774239569883)","('unit-testing', 0.007620744732631172)","('tkinter', 0.010331320507183555)","('sqlite', 0.006300709992702168)","('pygame', 0.00555281702391597)","('nltk', 0.002939427725127174)","('django', 0.0027305897994904654)","('class', 0.005135690293406242)","('unicode', 0.005133511796971885)",2012
22,"('html', 0.0059559337793059)","('mod-wsgi', 0.007120383744888952)","('opencv', 0.013140261240018044)","('urllib2', 0.007361862758442309)","('parsing', 0.00985268845167266)","('multithreading', 0.005971101978023618)","('pickle', 0.005435147667978098)","('performance', 0.0027467755547611397)","('text', 0.0025909660780850338)","('sqlite', 0.005061280831279883)","('xml', 0.004985336290941793)",2012
23,"('pyqt', 0.005939610343755649)","('json', 0.006880019603435889)","('cython', 0.012994238286774944)","('email', 0.006990576387973182)","('csv', 0.00982345914878937)","('sockets', 0.005763644374501442)","('variables', 0.0052579859102702626)","('text', 0.002485311698224771)","('py2exe', 0.002253971307875938)","('if-statement', 0.0046022941022925016)","('iteration', 0.004337998991245302)",2012
24,"('wxpython', 0.005917495850954749)","('unit-testing', 0.006573869110688437)","('function', 0.012866713238967953)","('windows', 0.0068769166481913654)","('iteration', 0.00906333383787955)","('ubuntu', 0.005566388586977814)","('math', 0.0051522817163047255)","('jinja2', 0.0024816858142461254)","('windows', 0.0017553773731739664)","('performance', 0.0038802282882679034)","('google-app-engine', 0.004109713967289874)",2012
25,"('subprocess', 0.005737424915914838)","('url', 0.006015394076353013)","('python-imaging-library', 0.012831051447123631)","('beautifulsoup', 0.00662589607157571)","('performance', 0.008355227965233266)","('pip', 0.0053184959596565716)","('recursion', 0.004976139887102339)","('file', 0.002270242691594833)","('pydev', 0.0014781702679170783)","('lxml', 0.003478765352475395)","('mongodb', 0.004100534522860081)",2012
26,"('class', 0.005721084600123836)","('mongodb', 0.006009648217531006)","('tkinter', 0.011500867099286697)","('sorting', 0.006113865427297876)","('if-statement', 0.007516269344804742)","('web-scraping', 0.005257532187854398)","('jinja2', 0.004674958831281959)","('web-scraping', 0.00213843659272122)","('html', 0.0014448863867092647)","('math', 0.0034035181512636144)","('matplotlib', 0.004081278870022159)",2012
27,"('javascript', 0.005619714993355832)","('authentication', 0.0058964371345713645)","('math', 0.011204964230912828)","('web-applications', 0.005749677205168271)","('json', 0.007492248756697795)","('exception', 0.00517668948318243)","('encoding', 0.0046147430966386)","('datetime', 0.0021334997687378465)","('eclipse', 0.0012917591839652146)","('indexing', 0.003029982996310652)","('variables', 0.003910282658298909)",2012
28,"('macos', 0.005307041551018627)","('datetime', 0.004568995938363449)","('optimization', 0.010791425312970105)","('class', 0.005691532493862256)","('file-io', 0.006202417977099599)","('opencv', 0.005140894522345093)","('matplotlib', 0.004386610289863008)","('utf-8', 0.0018838271784025725)","('excel', 0.0011996871693353266)","('import', 0.002991942713965568)","('optimization', 0.0038158243379262406)",2012
29,"('xml', 0.005209332915642709)","('api', 0.004295508992276548)","('for-loop', 0.010425839738332889)","('performance', 0.005470197171531332)","('unicode', 0.005455322166461028)","('parsing', 0.005126994437229822)","('urllib', 0.004152157256335507)","('xpath', 0.0016491386994463343)","('pygtk', 0.0011169994806292244)","('windows', 0.002958546152944967)","('list-comprehension', 0.003379247944033325)",2012
30,"('arrays', 0.005166473899668015)","('web', 0.00412809593987852)","('loops', 0.010265267143923056)","('file', 0.005281416557615786)","('sqlite', 0.005333587025728761)","('mysql', 0.004994144777592485)","('user-interface', 0.004114807841392117)","('matrix', 0.0014814281794738905)","('module', 0.0010352063570400367)","('syntax', 0.002789739265828235)","('search', 0.00304882594691735)",2012
31,"('json', 0.005165208296201039)","('wsgi', 0.0039687283654043694)","('macos', 0.00944270430897325)","('parsing', 0.00520813275068272)","('object', 0.004642259486645515)","('import', 0.004815768355747416)","('django', 0.0040091312692953195)","('scrapy', 0.0013648063569099396)","('syntax', 0.0009921889975762505)","('methods', 0.0026943128462493552)","('generator', 0.0030015845981467234)",2012
